concept_uuid;adamlink;straat
8bc61031-1e1d-4834-8bde-7e792979d8f5;https://adamlink.nl/geo/street/aetsveldseweg/8890;Aetsveldseweg (Weesp)
8c0edfc8-d3ea-4f58-9860-8e7e5563f65c;https://adamlink.nl/geo/street/zuiderzeelaan/9190;Zuiderzeelaan (Weesp)
8d2af3ab-b856-4363-a6ab-b6583999f5b1;https://adamlink.nl/geo/street/het-grote-plein/9004;Het Grote Plein (Weesp)
8e0fee28-d59d-4167-820c-49fee2bbd99f;https://adamlink.nl/geo/street/papelaan/9113;Papelaan (Weesp)
8e9eafea-80bf-4bad-a293-279cf6a40068;https://adamlink.nl/geo/street/muiderslotlaan/9091;Muiderslotlaan (Weesp)
8f7ba5b0-6450-47db-90a2-146dcc0b5321;https://adamlink.nl/geo/street/keulsevaartstraat/9037;Keulsevaartstraat (Weesp)
8fa4e90c-f37c-4fba-ad7b-0e7f9c10d60e;https://adamlink.nl/geo/street/brouwershof/8911;Brouwershof (Weesp)
919b0509-7ea0-4e13-86bf-465716e97066;https://adamlink.nl/geo/street/sinnigvelderstraat/9141;Sinnigvelderstraat (Weesp)
91f04e91-65d8-444a-85ec-231aeb2e74fc;https://adamlink.nl/geo/street/mrckooimancentrum/9086;Mr.C.Kooimancentrum (Weesp)
9392b317-5a6f-4d6d-aff8-2257ee843f64;https://adamlink.nl/geo/street/goudesteinlaan/8983;Goudesteinlaan (Weesp)
